 Employee_id,Employee_name,Employee_designation,Manager_id,Date_of_joining,Salary,Commission,Departmentnumber
7369,SMITH,CLERK,7902,Wed Dec 17 00:00:00 IST 1980,800.0,0,20
7499,ALLEN,SALESMAN,7698,Fri Feb 20 00:00:00 IST 1981,1600.0,300,30
7521,WARD,SALESMAN,7698,Sun Feb 22 00:00:00 IST 1981,1250.0,500,30
7566,JONES,MANAGER,7839,Thu Apr 02 00:00:00 IST 1981,2975.0,0,20
7654,MARTIN,SALESMAN,7698,Mon Sep 28 00:00:00 IST 1981,1250.0,1400,30
7698,BLAKE,MANAGER,7839,Fri May 01 00:00:00 IST 1981,2850.0,0,30
7782,CLARK,MANAGER,7839,Tue Jun 09 00:00:00 IST 1981,2450.0,0,10
7788,SCOTT,ANALYST,7566,Thu Dec 09 00:00:00 IST 1982,3000.0,0,20
7839,KING,PRESIDENT,0,Tue Nov 17 00:00:00 IST 1981,5000.0,0,10
7844,TURNER,SALESMAN,7698,Tue Sep 08 00:00:00 IST 1981,1500.0,0,30
7876,ADAMS,CLERK,7788,Wed Jan 12 00:00:00 IST 1983,1100.0,0,20
7900,JAMES,CLERK,7698,Thu Dec 03 00:00:00 IST 1981,950.0,0,30
7902,FORD,ANALYST,7566,Thu Dec 03 00:00:00 IST 1981,3000.0,0,20
7934,MILLER,CLERK,7782,Sat Jan 23 00:00:00 IST 1982,1300.0,0,10
